"Agrupamiento","Categoría","Proveedor","Cod. Barras","Producto","Costo","FactorMin","PrecioMin","FactorMay","PrecioMay","Stock","Activo"
"ACCESORIOS","TERMINALES","ImbelloniR12","","TERMINAL HEMBRA 915-X9","$1.00","5.00%","$5.00","5.00%","$5.00","178","Si"
"ACCESORIOS","TERMINALES","","","TERMMINAL 14","$1.00","5.00%","$5.00","5.00%","$5.00","18","Si"
"ACCESORIOS","TERMINALES","ImbelloniR12","","TERMMINAL 952-X9","$1.00","5.00%","$5.00","5.00%","$5.00","200","Si"
"ACCESORIOS","VALVULAS","","","VALVULA DE SERVO PICO FINO","$1.00","5.00%","$5.00","5.00%","$5.00","1","Si"
"ACCESORIOS","VALVULAS","","","VALVULA DE SERVO PICO GRUESO","$1.00","5.00%","$5.00","5.00%","$5.00","4","Si"
"ACEITES","ATF D2","ImbelloniR12","","TUTELA ATF D2 MINERAL HIDRAULICO","$1.00","5.00%","$5.00","5.00%","$5.00","175","Si"
"ACEITES","10W40","","7990996003655","10W-40 PET. SYNTIUM 1000 AM. X4L","$0.00","5.00%","$0.00","5.00%","$0.00","5","Si"
"ACEITES","10W40","ImbelloniR12","7990996003631","10W-40 TOTAL QUARTZ 7000 X4L","$0.00","5.00%","$0.00","5.00%","$0.00","5","Si"
"ACEITES","10W40","ImbelloniR12","","10W40 ACEITE SUELTO X1/2L.","$1.00","5.00%","$5.00","5.00%","$5.00","198","Si"
"ACEITES","10W40","ImbelloniR12","","10W40 ACEITE SUELTO X1L","$1.00","5.00%","$5.00","5.00%","$5.00","36","Si"
"ACEITES","15W40","ImbelloniR12","","15W40 ACEITE SUELTO","$1.00","5.00%","$5.00","5.00%","$5.00","67","Si"
"ACEITES","15W40","","7798095102039","15W40 SELENIA SEMISINTETICO 4L","$1.00","5.00%","$5.00","5.00%","$5.00","4","Si"
"ACEITES","15W40","","7798095102435","15W40 SYNTIUM 500 4L  MINERAL","$1.00","5.00%","$5.00","5.00%","$5.00","5","Si"
"ACEITES","25W50","","","25W50 ACEITE SUELTO","$1.00","5.00%","$5.00","5.00%","$5.00","208","Si"
